criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,100,log2,5,5,random,0.5,0.0,513
gini,100,log2,5,10,best,0.6380952380952382,0.0920908552657796,255
gini,100,log2,5,10,random,0.5,0.0,513
gini,100,log2,5,100,best,0.6571428571428571,0.0761904761904762,170
gini,100,log2,5,100,random,0.5,0.0,513
gini,100,log2,10,2,best,0.6333333333333334,0.09712418121129114,299
gini,100,log2,10,2,random,0.5,0.0,513
gini,100,log2,10,5,best,0.6333333333333334,0.09712418121129114,299
gini,100,log2,10,5,random,0.5,0.0,513
gini,100,log2,10,10,best,0.6333333333333334,0.09712418121129114,299
gini,100,log2,10,10,random,0.5,0.0,513
gini,100,log2,10,100,best,0.6666666666666667,0.06734350297014738,113
gini,100,log2,10,100,random,0.5,0.0,513
gini,100,log2,50,2,best,0.5333333333333334,0.10921280896361633,441
gini,100,log2,50,2,random,0.5,0.0,513
gini,100,log2,50,5,best,0.5333333333333334,0.10921280896361633,441
gini,100,log2,50,5,random,0.5,0.0,513
gini,100,log2,50,10,best,0.5333333333333334,0.10921280896361633,441
gini,100,log2,50,10,random,0.5,0.0,513
gini,100,log2,50,100,best,0.5333333333333334,0.10921280896361633,441
gini,100,log2,50,100,random,0.5,0.0,513
gini,100,log2,100,2,best,0.5,0.0,513
gini,100,log2,100,2,random,0.5,0.0,513
gini,100,log2,100,5,best,0.5,0.0,513
gini,100,log2,100,5,random,0.5,0.0,513
gini,100,log2,100,10,best,0.5,0.0,513
gini,100,log2,100,10,random,0.5,0.0,513
gini,100,log2,100,100,best,0.5,0.0,513
gini,100,log2,100,100,random,0.5,0.0,513
gini,100,,1,2,best,0.6476190476190476,0.07882354932022306,213
gini,100,,1,2,random,0.6571428571428571,0.06317380553057904,170
gini,100,,1,5,best,0.6571428571428571,0.06666666666666667,170
gini,100,,1,5,random,0.6952380952380953,0.0788235493202231,14
gini,100,,1,10,best,0.6428571428571429,0.0838419850555191,228
gini,100,,1,10,random,0.7095238095238094,0.08702698515474794,2
gini,100,,1,100,best,0.680952380952381,0.08192690730516787,42
gini,100,,1,100,random,0.6333333333333334,0.09233675918888244,299
gini,100,,5,2,best,0.6333333333333333,0.13434986647300842,324
gini,100,,5,2,random,0.6857142857142857,0.08702698515474791,27
gini,100,,5,5,best,0.6333333333333333,0.13434986647300842,324
gini,100,,5,5,random,0.6857142857142857,0.08702698515474791,27
gini,100,,5,10,best,0.6333333333333333,0.13434986647300842,324
gini,100,,5,10,random,0.6857142857142857,0.08702698515474791,27
gini,100,,5,100,best,0.680952380952381,0.08192690730516787,42
gini,100,,5,100,random,0.5857142857142857,0.07911070345636263,374
gini,100,,10,2,best,0.6714285714285715,0.10257456775494292,90
gini,100,,10,2,random,0.6571428571428571,0.09233675918888247,170
gini,100,,10,5,best,0.6714285714285715,0.10257456775494292,90
gini,100,,10,5,random,0.6571428571428571,0.09233675918888247,170
gini,100,,10,10,best,0.6714285714285715,0.10257456775494292,90
gini,100,,10,10,random,0.6571428571428571,0.09233675918888247,170
